Country,State,City,Locality,Area_Type,Plot_Size_sqft,Builtup_Area_sqft,Carpet_Area_sqft,Floors,Floor_Number,Bedrooms,Bathrooms,Balconies,Living_Rooms,Dining_Room,Kitchens,Study_Room,Office_Room,Parking,Garden,Swimming_Pool,Terrace,Basement,Lift,Property_Age_years,Facing_Direction,Furnishing,Smart_Home,Solar_Panels,EV_Charging,Security_System,Water_Supply,Power_Backup,School_Dist_km,Hospital_Dist_km,Metro_Dist_km,Airport_Dist_km,School_Index,Hospital_Index,Transit_Index,Safety_Score,Green_Space_Score,AQI,Price_INR
India,Telangana,Hyderabad,Kondapur,Plot Area,2327,1903,1587,4,2,3,3,2,2,1,1,0,0,2,1,1,1,0,1,7,East,Semi-Furnished,1,0,0,0,Corporation + Borewell,Full,1.67,4.97,7.59,79.16,8.7,7.5,7.7,8.4,5.7,73,53600000
India,Gujarat,Vadodara,Vasna Road,Super Built-up,1634,1144,961,20,17,2,2,2,1,1,1,1,0,0,0,0,1,0,1,12,South-West,Semi-Furnished,0,0,1,1,Corporation + Borewell,Partial,3.89,3.38,5.11,61.74,6.9,8.3,8.5,7.5,6.8,153,22610000
India,Rajasthan,Jaipur,Raja Park,Carpet Area,740,584,494,4,3,1,1,1,1,0,1,0,0,2,0,0,1,0,1,15,West,Unfurnished,0,1,0,1,24/7 Supply,Full,3.75,5.26,0.55,21.58,7.0,7.4,9.8,7.2,7.6,217,3720000
India,Tamil Nadu,Coimbatore,RS Puram,Carpet Area,2609,1993,1673,10,5,3,2,3,2,1,1,1,1,2,0,0,0,0,1,8,North-West,Unfurnished,0,0,1,1,Corporation + Borewell,Full,0.72,4.19,4.26,66.34,9.4,7.9,8.7,7.7,7.8,148,33410000
India,Punjab & Chandigarh,Chandigarh,Sector 17,Super Built-up,1008,785,644,10,2,1,1,0,1,0,1,0,0,1,0,1,0,0,1,22,East,Fully-Furnished,1,0,1,1,Corporation + Borewell,Full,0.47,3.91,2.91,32.55,9.6,8.0,9.1,7.9,5.5,145,11440000
India,Punjab & Chandigarh,Ludhiana,Sahnewal Village,Plot Area,2169,1561,1260,2,2,3,3,1,1,1,1,0,0,1,1,0,1,0,0,5,North,Semi-Furnished,0,1,0,1,Borewell Only,Full,4.97,8.47,18.23,48.87,6.0,5.8,4.5,9.1,8.4,33,7540000
India,Maharashtra,Pune,Koregaon Park,Plot Area,2054,1474,1242,4,3,3,3,1,1,1,1,1,0,2,1,1,1,0,1,17,East,Semi-Furnished,0,0,1,0,24/7 Supply,Full,1.08,2.3,1.13,73.43,9.1,8.8,9.7,7.9,7.1,186,37380000
India,Telangana,Hyderabad,Tellapur,Super Built-up,2183,1623,1378,4,2,3,3,2,1,1,1,1,0,1,0,0,1,0,1,23,South-East,Fully-Furnished,0,0,1,1,Corporation + Borewell,Full,3.89,5.26,6.57,35.47,6.9,7.4,8.0,6.5,7.0,208,23830000
India,Uttar Pradesh,Varanasi,Cantonment,Plot Area,2173,1454,1243,10,4,2,2,2,1,1,1,1,0,1,1,0,0,0,1,4,South-East,Semi-Furnished,0,1,0,0,24/7 Supply,Partial,2.5,3.09,3.41,40.93,8.0,8.5,9.0,9.0,7.7,214,12770000
India,Uttar Pradesh,Kanpur,Civil Lines,Super Built-up,2144,1418,1228,4,3,2,3,2,1,1,1,1,1,2,0,0,1,0,1,24,East,Fully-Furnished,0,0,0,0,24/7 Supply,Full,2.44,2.45,3.25,51.91,8.0,8.8,9.0,6.2,5.0,146,13990000
India,Delhi NCR,Noida,Greater Noida West,Super Built-up,1219,783,651,4,2,1,1,1,1,0,1,0,0,2,0,1,0,0,1,12,South-East,Semi-Furnished,0,1,0,1,24/7 Supply,Full,2.97,4.46,5.2,61.64,7.6,7.8,8.4,7.7,5.1,115,11020000
India,Kerala,Thiruvananthapuram,Kowdiar,Super Built-up,1490,1187,957,4,4,2,1,1,1,1,1,1,0,2,1,1,1,0,1,9,North,Semi-Furnished,1,0,1,1,Corporation + Borewell,None,0.75,1.8,1.49,31.18,9.4,9.1,9.6,8.7,5.5,109,13070000
India,Tamil Nadu,Madurai,Anna Nagar,Plot Area,1831,1341,1155,30,11,2,3,3,1,1,1,0,0,0,1,1,0,0,1,19,North-West,Unfurnished,0,1,0,0,Corporation + Borewell,Partial,0.96,5.79,1.36,44.88,9.2,7.1,9.6,6.3,8.5,140,20530000
India,West Bengal,Kolkata,Ballygunge,Plot Area,1878,1224,1031,10,1,2,2,1,1,1,1,1,0,1,1,0,0,0,1,22,South-East,Semi-Furnished,0,1,0,1,24/7 Supply,Full,2.95,4.12,0.41,33.32,7.6,7.9,9.9,6.7,7.0,63,7590000
India,Tamil Nadu,Madurai,SS Colony,Super Built-up,1556,1009,826,4,4,2,3,1,1,1,1,1,0,0,0,1,1,0,1,20,North-East,Unfurnished,1,1,1,1,24/7 Supply,Full,1.26,2.59,4.8,36.08,9.0,8.7,8.6,8.0,5.8,148,14510000
India,Delhi NCR,Faridabad,Sector 81,Plot Area,1215,800,646,4,2,1,1,0,1,0,1,0,0,2,1,0,0,1,1,1,South-East,Semi-Furnished,1,0,1,1,Corporation + Borewell,Partial,2.71,5.06,1.81,20.66,7.8,7.5,9.5,6.4,8.1,199,23350000
India,Rajasthan,Jaipur,Vaishali Nagar,Carpet Area,1433,1132,981,10,8,2,2,0,1,1,1,0,0,1,1,1,0,0,1,21,East,Semi-Furnished,1,0,0,0,24/7 Supply,Full,2.5,0.78,4.07,55.81,8.0,9.6,8.8,7.1,7.5,77,6990000
India,Maharashtra,Mumbai,Bandra West,Plot Area,1927,1605,1387,30,17,3,4,0,1,1,1,0,1,3,1,0,0,0,1,23,North-East,Semi-Furnished,1,1,1,1,24/7 Supply,None,2.69,4.31,0.6,60.2,7.8,7.8,9.8,6.1,6.6,219,37590000
India,Gujarat,Surat,Hazira Village,Plot Area,2228,1468,1232,2,2,3,3,0,1,1,1,0,0,1,1,0,1,0,0,12,East,Fully-Furnished,0,1,0,1,Borewell Only,Full,7.51,16.67,33.84,59.7,4.0,1.7,1.0,9.2,8.5,48,9360000
India,Karnataka,Hubli-Dharwad,Navanagar,Carpet Area,1235,813,654,20,12,1,2,1,1,1,1,0,0,3,0,0,0,0,1,4,North,Unfurnished,0,0,0,0,Corporation + Borewell,Partial,1.33,5.51,0.55,26.57,8.9,7.2,9.8,7.3,4.6,213,23530000
India,Tamil Nadu,Madurai,Avaniapuram Village,Plot Area,2149,1487,1243,2,1,2,1,3,1,1,1,0,1,1,1,0,1,0,0,10,East,Semi-Furnished,0,1,0,1,Borewell Only,Partial,9.91,13.71,22.57,51.1,2.1,3.1,3.2,8.9,8.5,39,7620000
India,Karnataka,Mysore,Gokulam,Super Built-up,2193,1526,1268,20,2,3,3,0,2,1,1,0,0,2,1,1,0,0,1,1,South-West,Unfurnished,0,1,0,1,24/7 Supply,Full,2.83,0.92,6.84,49.71,7.7,9.5,7.9,7.5,6.7,191,29830000
India,Karnataka,Mangalore,Surathkal,Carpet Area,2287,1811,1542,20,7,3,2,1,1,1,1,1,0,2,1,0,1,0,1,9,East,Fully-Furnished,0,1,0,1,24/7 Supply,Partial,0.32,2.08,5.01,78.87,9.7,9.0,8.5,8.0,5.2,161,47300000
India,Delhi NCR,Faridabad,Sector 81,Super Built-up,924,727,612,4,4,1,1,2,1,0,1,1,1,0,0,0,1,0,1,23,North-East,Fully-Furnished,1,1,0,1,Corporation + Borewell,Partial,0.39,0.62,2.72,49.32,9.7,9.7,9.2,8.5,7.1,131,11400000
India,Telangana,Hyderabad,Jubilee Hills,Super Built-up,1691,1372,1171,4,4,2,2,2,1,1,1,0,1,2,1,1,1,0,1,19,North-West,Semi-Furnished,0,0,0,1,Corporation + Borewell,Full,0.42,4.08,3.07,71.86,9.7,8.0,9.1,7.5,8.4,89,29920000
India,Tamil Nadu,Madurai,SS Colony,Plot Area,2703,1724,1495,20,4,3,3,2,1,1,1,0,0,1,1,0,0,1,1,20,West,Semi-Furnished,0,1,0,1,Corporation + Borewell,Full,2.08,3.8,2.47,61.7,8.3,8.1,9.3,8.8,7.5,66,23520000
India,Uttar Pradesh,Lucknow,Gomti Nagar,Super Built-up,1853,1385,1183,4,1,3,3,3,1,1,1,0,1,0,1,0,0,0,1,6,East,Semi-Furnished,1,0,0,0,24/7 Supply,Full,3.62,3.77,5.01,56.78,7.1,8.1,8.5,7.0,8.2,211,23420000
India,Telangana,Warangal,Subedari,Plot Area,1124,814,661,4,1,1,1,2,1,1,1,0,0,1,1,0,0,0,1,12,South-West,Fully-Furnished,0,0,0,0,24/7 Supply,Full,3.99,5.86,5.27,31.97,6.8,7.1,8.4,8.2,4.3,64,10720000
India,Maharashtra,Pune,Viman Nagar,Plot Area,2663,1670,1407,10,2,3,2,3,1,1,1,0,0,1,1,1,0,1,1,21,West,Unfurnished,1,1,1,0,Corporation + Borewell,Full,2.53,3.98,3.11,50.76,8.0,8.0,9.1,7.3,4.3,129,20250000
India,Uttar Pradesh,Kanpur,Civil Lines,Super Built-up,1058,686,577,4,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1,8,North,Semi-Furnished,0,1,0,0,Corporation + Borewell,Full,3.02,4.15,3.9,70.65,7.6,7.9,8.8,8.6,6.6,198,6650000
India,Telangana,Warangal,Kazipet,Super Built-up,2674,1937,1667,30,24,3,4,1,1,1,1,0,0,2,0,0,1,0,1,6,South-East,Unfurnished,0,0,0,0,Corporation + Borewell,Full,2.91,1.61,5.45,78.19,7.7,9.2,8.4,6.3,7.0,131,43980000
India,Gujarat,Vadodara,Gotri,Super Built-up,3915,2555,2176,30,14,5,6,2,1,1,1,1,0,1,0,0,0,0,1,17,South-West,Unfurnished,1,0,1,1,24/7 Supply,Full,0.7,4.08,6.17,75.54,9.4,8.0,8.1,7.4,8.1,200,25930000
India,Punjab & Chandigarh,Chandigarh,Manimajra Village,Plot Area,1852,1283,1058,2,2,2,2,1,1,1,1,0,0,1,1,0,1,0,0,10,North-East,Unfurnished,0,1,0,1,Borewell Only,Partial,7.19,19.18,44.65,74.85,4.2,1.0,1.0,9.4,7.3,33,5730000
India,Telangana,Hyderabad,Jubilee Hills,Plot Area,2464,1928,1674,4,1,3,2,2,2,1,1,0,1,1,1,0,0,1,1,20,South,Semi-Furnished,1,0,0,0,Corporation + Borewell,Partial,1.31,2.77,1.15,30.87,9.0,8.6,9.7,8.2,4.8,144,36150000
India,Uttar Pradesh,Lucknow,Hazratganj,Super Built-up,2994,2219,1802,10,10,4,4,1,1,1,1,0,0,1,0,0,1,0,1,9,South-West,Semi-Furnished,0,0,0,1,Corporation + Borewell,Full,2.77,1.03,5.07,47.11,7.8,9.5,8.5,7.9,4.8,177,37870000
India,West Bengal,Kolkata,Salt Lake,Super Built-up,1379,1059,873,10,2,2,2,0,1,1,1,0,0,1,0,1,0,0,1,6,South-West,Unfurnished,0,1,0,0,Corporation + Borewell,Full,2.69,3.78,3.33,42.02,7.8,8.1,9.0,7.1,6.8,130,20190000
India,Tamil Nadu,Madurai,Avaniapuram Village,Plot Area,2759,2075,1725,2,2,3,3,2,2,1,1,1,0,1,1,0,1,0,0,21,South,Unfurnished,0,1,1,1,Borewell Only,Partial,3.29,9.96,29.79,69.31,7.4,5.0,1.1,7.5,7.8,78,7550000
India,West Bengal,Howrah,Santragachi,Super Built-up,4878,3464,2807,20,14,5,5,0,2,1,1,1,1,1,0,0,0,0,1,1,North-East,Unfurnished,0,1,0,1,Corporation + Borewell,Partial,3.7,3.23,7.94,71.09,7.0,8.4,7.6,6.7,8.2,78,69740000
India,Delhi NCR,Gurugram,Golf Course Road,Carpet Area,2550,1874,1619,20,1,3,2,2,1,1,1,1,0,2,1,0,0,0,1,21,North-West,Unfurnished,0,0,0,0,Corporation + Borewell,Full,2.17,1.78,0.82,66.6,8.3,9.1,9.8,6.4,6.7,209,42390000
India,Gujarat,Ahmedabad,Prahlad Nagar,Super Built-up,2038,1473,1200,4,3,3,2,3,1,1,1,1,1,0,0,0,0,0,1,15,South,Semi-Furnished,1,0,0,0,24/7 Supply,Partial,2.25,2.84,1.22,73.2,8.2,8.6,9.6,7.4,4.9,118,18090000
India,West Bengal,Kolkata,Alipore,Plot Area,833,639,555,4,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,16,South,Semi-Furnished,0,0,0,0,Corporation + Borewell,Full,3.03,3.12,3.13,43.67,7.6,8.4,9.1,7.5,7.5,202,11250000
India,Maharashtra,Nashik,College Road,Carpet Area,1919,1475,1187,4,1,3,3,3,1,1,1,0,0,0,1,0,0,0,1,11,North,Semi-Furnished,0,0,1,1,24/7 Supply,Full,0.34,5.76,5.95,41.2,9.7,7.1,8.2,6.9,5.6,183,45410000
India,Delhi NCR,Noida,Sector 150,Super Built-up,2269,1841,1598,4,1,3,4,1,2,1,1,0,0,1,1,0,0,0,1,24,East,Semi-Furnished,1,0,0,1,Corporation + Borewell,Partial,2.45,4.61,6.53,59.39,8.0,7.7,8.0,6.4,5.5,208,23070000
India,Rajasthan,Udaipur,Sukher,Super Built-up,1563,1063,856,10,7,2,2,0,1,1,1,1,0,2,1,0,1,0,1,20,North-West,Fully-Furnished,1,1,1,0,Corporation + Borewell,Partial,1.3,3.47,5.88,26.48,9.0,8.3,8.2,8.2,4.4,214,12690000
India,West Bengal,Howrah,Domjur Village,Plot Area,2395,1816,1513,2,1,3,3,2,2,1,1,0,1,1,1,0,0,1,0,11,West,Fully-Furnished,0,1,0,0,Borewell Only,Partial,8.4,8.29,40.98,68.91,3.3,5.9,1.0,8.9,8.9,45,7650000
India,Telangana,Warangal,Kazipet,Plot Area,971,721,579,10,4,1,1,1,1,0,1,1,1,2,1,1,0,0,1,20,North-West,Semi-Furnished,0,1,0,1,Corporation + Borewell,Full,3.53,3.31,5.84,26.25,7.2,8.3,8.2,6.7,7.2,68,10710000
India,Karnataka,Hubli-Dharwad,Navanagar,Super Built-up,1874,1251,1026,10,7,2,3,1,1,1,1,1,0,2,0,0,0,0,1,14,North-East,Semi-Furnished,0,0,0,1,24/7 Supply,Full,1.82,5.12,3.19,54.31,8.5,7.4,9.0,7.9,4.8,117,19930000
India,Punjab & Chandigarh,Chandigarh,Sector 35,Plot Area,1624,1246,1002,20,10,2,2,3,1,1,1,1,0,2,1,1,0,0,1,6,East,Fully-Furnished,1,0,0,0,Corporation + Borewell,Full,3.08,4.11,7.66,24.14,7.5,7.9,7.7,6.2,5.3,101,17570000
India,Uttar Pradesh,Varanasi,Sarnath Village,Plot Area,1556,1233,1048,2,1,2,3,0,1,1,1,0,0,1,1,0,0,0,0,14,East,Semi-Furnished,0,1,0,0,Borewell Only,Partial,5.63,17.07,42.57,57.47,5.5,1.5,1.0,8.6,9.7,32,5480000
India,Tamil Nadu,Chennai,Anna Nagar,Super Built-up,3858,2593,2251,4,4,4,4,0,1,1,1,0,1,2,0,1,1,0,1,16,East,Unfurnished,0,0,0,1,Corporation + Borewell,Full,0.66,5.24,3.79,64.96,9.5,7.4,8.9,6.9,7.5,77,32530000
India,Delhi NCR,Faridabad,Surajkund,Plot Area,1559,1038,878,20,9,2,2,1,1,1,1,1,1,1,1,1,0,0,1,23,North-West,Semi-Furnished,0,0,1,0,24/7 Supply,Partial,1.71,4.77,7.72,32.23,8.6,7.6,7.7,7.7,5.3,186,19960000
India,Tamil Nadu,Madurai,Anna Nagar,Super Built-up,3515,2317,1900,4,1,4,4,3,2,1,1,0,1,0,1,0,1,0,1,15,North-East,Semi-Furnished,1,1,1,0,24/7 Supply,Partial,3.88,2.8,7.88,60.08,6.9,8.6,7.6,8.0,4.7,201,36720000
India,West Bengal,Howrah,Santragachi,Super Built-up,836,619,529,20,11,1,2,1,1,0,1,1,0,2,0,0,0,0,1,21,North-East,Fully-Furnished,0,0,0,0,24/7 Supply,Full,0.83,2.41,3.71,64.93,9.3,8.8,8.9,8.1,6.8,116,10390000
India,Punjab & Chandigarh,Ludhiana,BRS Nagar,Super Built-up,799,665,563,4,3,1,1,1,1,1,1,1,0,2,0,0,0,0,1,2,North,Semi-Furnished,1,1,1,1,24/7 Supply,Full,3.63,4.08,7.02,20.01,7.1,8.0,7.9,6.5,5.8,120,8810000
India,Tamil Nadu,Coimbatore,Gandhipuram,Super Built-up,2006,1657,1390,20,20,3,4,1,2,1,1,1,1,3,0,0,1,0,1,22,North,Unfurnished,1,0,1,1,Corporation + Borewell,Full,0.47,3.62,2.41,69.47,9.6,8.2,9.3,6.2,5.0,176,24600000
India,Punjab & Chandigarh,Ludhiana,Sarabha Nagar,Super Built-up,2287,1490,1239,10,5,2,2,2,1,1,1,0,1,0,1,0,0,0,1,8,West,Unfurnished,1,0,1,0,24/7 Supply,Full,1.47,2.89,6.24,56.12,8.8,8.6,8.1,8.9,6.0,157,26700000
India,Telangana,Hyderabad,Kondapur,Super Built-up,2368,1491,1214,10,6,3,3,1,1,1,1,1,0,1,0,0,0,0,1,7,North-East,Unfurnished,1,0,0,0,24/7 Supply,Full,2.05,3.75,4.39,71.25,8.4,8.1,8.7,6.2,7.7,195,20990000
India,West Bengal,Kolkata,Alipore,Super Built-up,2078,1683,1415,10,3,3,3,1,1,1,1,0,1,1,1,0,0,0,1,18,South,Fully-Furnished,1,0,1,0,Corporation + Borewell,None,3.34,0.51,5.16,23.07,7.3,9.7,8.5,6.8,4.3,156,26460000
India,Karnataka,Mangalore,Kadri,Plot Area,2337,1498,1244,20,19,3,3,1,2,1,1,0,0,1,1,0,0,1,1,24,South-East,Fully-Furnished,1,0,1,0,Corporation + Borewell,None,3.33,4.32,4.35,46.93,7.3,7.8,8.7,6.3,5.8,205,34740000
India,Rajasthan,Jaipur,Malviya Nagar,Super Built-up,1887,1332,1151,10,9,2,3,2,1,1,1,0,0,1,0,0,0,0,1,24,North-West,Semi-Furnished,1,0,0,1,Corporation + Borewell,Full,3.12,5.71,2.85,51.03,7.5,7.1,9.1,7.2,4.0,121,15990000
India,Punjab & Chandigarh,Chandigarh,Sector 17,Super Built-up,2330,1687,1351,30,4,3,3,1,1,1,1,0,0,0,0,1,0,0,1,18,East,Semi-Furnished,0,0,0,1,24/7 Supply,None,1.46,5.39,4.9,69.6,8.8,7.3,8.5,9.1,5.3,213,20950000
India,Gujarat,Ahmedabad,Bopal,Super Built-up,2049,1527,1238,4,3,3,4,2,1,1,1,0,0,1,0,0,0,0,1,2,West,Semi-Furnished,0,0,1,1,Corporation + Borewell,Full,3.23,3.04,5.9,28.88,7.4,8.5,8.2,8.7,7.2,205,15330000
India,Punjab & Chandigarh,Chandigarh,Sector 35,Plot Area,2519,2016,1641,10,4,3,3,1,2,1,1,1,0,2,1,0,0,0,1,0,North-West,Semi-Furnished,0,0,0,1,24/7 Supply,Partial,1.99,2.94,4.9,55.48,8.4,8.5,8.5,8.6,6.1,219,18390000
India,Maharashtra,Mumbai,Bandra West,Super Built-up,1671,1052,913,4,3,2,2,2,1,1,1,1,1,2,0,0,0,0,1,1,North,Unfurnished,0,1,0,1,Corporation + Borewell,None,0.63,0.51,0.54,40.51,9.5,9.7,9.8,8.0,4.3,60,45020000
India,Rajasthan,Jaipur,Malviya Nagar,Plot Area,1934,1419,1226,30,2,3,3,0,1,1,1,0,1,0,1,0,1,1,1,16,South-East,Fully-Furnished,0,0,0,1,Corporation + Borewell,Full,1.16,2.05,6.47,75.75,9.1,9.0,8.1,7.3,8.1,111,15930000
India,Maharashtra,Mumbai,Bandra West,Super Built-up,789,619,505,20,18,1,1,3,1,0,1,1,0,1,0,1,1,0,1,21,North-West,Semi-Furnished,0,1,0,1,Corporation + Borewell,Partial,3.35,4.47,2.32,44.15,7.3,7.8,9.3,6.3,4.9,185,15190000
India,Gujarat,Surat,Vesu,Super Built-up,1849,1394,1139,20,15,3,2,1,1,1,1,1,0,2,0,0,1,0,1,18,West,Unfurnished,0,0,1,1,24/7 Supply,Full,0.92,4.42,5.4,77.96,9.3,7.8,8.4,8.4,8.3,172,13110000
India,Tamil Nadu,Madurai,SS Colony,Super Built-up,1013,738,615,20,18,1,1,1,1,0,1,0,0,1,0,1,0,0,1,5,North-East,Semi-Furnished,1,1,1,0,24/7 Supply,Full,2.71,4.56,2.66,58.69,7.8,7.7,9.2,7.3,7.2,91,22360000
India,Punjab & Chandigarh,Amritsar,Ranjit Avenue,Super Built-up,806,669,543,10,6,1,1,1,1,0,1,0,0,1,0,0,0,0,1,3,East,Semi-Furnished,1,0,1,1,Corporation + Borewell,Full,3.47,3.66,0.8,42.95,7.2,8.2,9.8,7.2,4.8,129,10140000
India,Rajasthan,Jaipur,Vaishali Nagar,Super Built-up,2635,1857,1527,4,1,3,4,2,1,1,1,1,0,1,1,0,0,0,1,8,West,Unfurnished,0,1,0,0,Corporation + Borewell,None,1.18,3.42,5.28,58.68,9.1,8.3,8.4,7.8,7.5,92,28110000
India,West Bengal,Howrah,Shibpur,Super Built-up,2629,1808,1469,4,4,3,3,2,1,1,1,0,1,1,0,1,1,0,1,16,East,Unfurnished,1,0,0,1,24/7 Supply,Partial,1.61,5.72,7.71,57.25,8.7,7.1,7.7,9.0,7.4,147,15420000
India,Delhi NCR,Gurugram,Sohna Village,Plot Area,2249,1408,1210,2,2,2,2,1,1,1,1,1,0,3,1,0,1,1,0,24,South,Unfurnished,0,1,0,1,Borewell Only,Full,8.03,19.68,21.65,67.56,3.6,1.0,3.5,9.6,9.6,77,6680000
India,Karnataka,Mysore,Yelwal Village,Plot Area,3430,2480,2114,2,1,4,4,3,2,1,1,1,0,0,1,0,0,1,0,9,South-East,Semi-Furnished,0,1,0,0,Borewell Only,Partial,9.15,4.62,30.0,21.75,2.7,7.7,1.0,8.6,8.9,31,11710000
India,Uttar Pradesh,Kanpur,Kidwai Nagar,Carpet Area,1540,1246,1027,20,13,2,1,0,1,1,1,0,0,1,0,0,0,0,1,17,North,Unfurnished,1,0,0,0,24/7 Supply,Full,3.84,1.31,5.5,33.49,6.9,9.3,8.3,7.4,7.2,150,12740000
India,Kerala,Kochi,Edappally,Super Built-up,2217,1473,1238,4,4,2,3,3,1,1,1,0,0,1,1,0,1,0,1,24,North-East,Unfurnished,1,0,0,1,Corporation + Borewell,Full,2.99,4.76,2.95,69.49,7.6,7.6,9.1,7.7,6.1,67,11100000
India,Tamil Nadu,Madurai,KK Nagar,Super Built-up,2583,1735,1463,4,4,3,3,1,1,1,1,0,1,3,0,1,1,0,1,14,North,Fully-Furnished,0,0,0,1,24/7 Supply,Full,0.76,2.35,8.0,44.35,9.4,8.8,7.6,6.7,7.4,146,18760000
India,Punjab & Chandigarh,Amritsar,GT Road,Plot Area,905,624,531,10,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,23,East,Semi-Furnished,1,0,1,1,24/7 Supply,Partial,1.58,0.67,0.6,28.53,8.7,9.7,9.8,6.7,7.0,85,4880000
India,Maharashtra,Nashik,Trimbak Village,Plot Area,3362,2220,1904,2,2,4,4,1,1,1,1,1,0,2,1,0,1,1,0,22,South,Semi-Furnished,0,1,0,1,Borewell Only,Partial,7.18,10.3,25.81,48.94,4.3,4.8,2.3,7.8,9.7,64,16970000
India,Punjab & Chandigarh,Amritsar,Mall Road,Plot Area,2624,1874,1522,20,20,3,2,1,2,1,1,1,1,2,1,0,1,0,1,20,North-East,Unfurnished,0,1,0,1,24/7 Supply,Full,3.2,2.07,3.58,61.13,7.4,9.0,8.9,7.1,4.3,119,34720000
